DCCA Code,District,Geographical Constituency,Counting Station,801,802,803,804,805,806,807,808,809,Total ,dcca_winner,,,,,
S1303,KWAI TSING DISTRICT, NEW TERRITORIES WEST,TWGHs Ko Ho Ning Memorial Primary School,202,191,467,23,20,432,22,532,266,2155,808,,,,,
S1401,KWAI TSING DISTRICT, NEW TERRITORIES WEST,CCC Kei Chun Primary School,477,542,993,35,62,340,26,787,854,4116,803,,,,,
S1501,KWAI TSING DISTRICT, NEW TERRITORIES WEST,The HKSYC&IA Chan Nam Chong Memorial College,469,420,1043,23,44,310,37,924,1583,4853,809,,,,,
S1601,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Kwai Fong Community Hall,301,352,901,14,37,258,22,1023,725,3633,808,,,,,
S1701,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Lai King Community Hall,486,370,822,31,30,441,26,977,698,3881,808,,,,,
S1801,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Kwai Shing Community Hall,287,302,774,22,33,1591,27,1907,411,5354,808,,,,,
S1901,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Delia (Man Kiu) English Primary School,383,367,911,33,52,503,42,919,677,3887,808,,,,,
S1902,KWAI TSING DISTRICT, NEW TERRITORIES WEST,CCC Yenching College,504,543,1332,30,59,419,24,967,818,4696,803,,,,,
S2001,KWAI TSING DISTRICT, NEW TERRITORIES WEST,SKH Tsing Yi Estate Ho Chak Wan Primary School,535,456,1247,38,58,736,32,876,576,4554,803,,,,,
S2101,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Tsuen Wan Trade Association Primary School,521,562,1373,41,75,762,40,1246,676,5296,803,,,,,
S2201,KWAI TSING DISTRICT, NEW TERRITORIES WEST,TWGHs S. C. Gaw Memorial College,103,144,249,11,13,140,9,255,399,1323,809,,,,,
S2202,KWAI TSING DISTRICT, NEW TERRITORIES WEST,PLK Castar Primary School,620,523,1503,41,72,574,42,1351,782,5508,803,,,,,
S2301,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Cheung Ching Estate Community Centre,195,257,469,15,29,324,28,504,293,2114,808,,,,,
S2302,KWAI TSING DISTRICT, NEW TERRITORIES WEST,"Study Room, Mayfair Gardens",309,335,810,17,27,489,29,678,398,3092,803,,,,,
S2401,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Tsing Yi Trade Association Primary School,329,407,523,19,39,381,70,628,418,2814,808,,,,,
S2402,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Tsing Yi Trade Association Kindergarten,263,325,622,21,24,239,27,575,336,2432,803,,,,,
S2501,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Lok Sin Tong Leung Chik Wai Memorial School,370,322,780,24,46,357,30,810,1081,3820,809,,,,,
S2601,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Rambler Crest Club House,113,89,291,9,22,70,12,224,131,961,803,,,,,
S2602,KWAI TSING DISTRICT, NEW TERRITORIES WEST,SKH Tsing Yi Chu Yan Primary School,265,293,664,43,27,323,51,572,1082,3320,809,,,,,
S2701,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Cheung Hang Community Hall,674,686,1247,55,87,834,69,1188,1414,6254,809,,,,,
S2801,KWAI TSING DISTRICT, NEW TERRITORIES WEST,Cheung Fat Estate Community Centre,396,384,1043,30,32,381,28,1007,587,3888,803,,,,,
S2901,KWAI TSING DISTRICT, NEW TERRITORIES WEST,CNEC Lui Ming Choi Primary School,385,348,1095,28,53,461,37,1070,1279,4756,809,,,,,
T0101,ISLANDS DISTRICT, NEW TERRITORIES WEST,CCC Tai O Primary School,38,50,106,13,10,46,10,195,324,792,809,,,,,
