DCCA Code,District,Geographical Constituency,Counting Station,801,802,803,804,805,806,807,808,809,Total ,dcca_winner,,,,,
T1002,ISLANDS DISTRICT, NEW TERRITORIES WEST,Kwok Man School,138,86,268,10,16,77,15,205,456,1271,809,,,,,
N0101,NORTH DISTRICT,NEW TERRITORIES EAST,HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School,438,280,838,21,44,231,41,462,736,3091,803,,,,,
N0201,NORTH DISTRICT,NEW TERRITORIES EAST,Fanling Public School,185,163,338,13,28,146,21,227,295,1416,803,,,,,
N0202,NORTH DISTRICT,NEW TERRITORIES EAST,Caritas Fanling Chan Chun Ha Secondary School,259,206,474,19,30,112,19,325,302,1746,803,,,,,
N0301,NORTH DISTRICT,NEW TERRITORIES EAST,Cheung Wah Community Hall,847,498,1504,45,85,519,83,832,1082,5495,803,,,,,
N0401,NORTH DISTRICT,NEW TERRITORIES EAST,HHCKLA Buddhist Ching Kok Lin Association School,873,494,1622,50,100,473,106,1008,1525,6251,803,,,,,
N0501,NORTH DISTRICT,NEW TERRITORIES EAST,Fung Kai Liu Yun Sum Memorial School,733,422,1579,45,117,482,288,993,1203,5862,803,,,,,
N0601,NORTH DISTRICT,NEW TERRITORIES EAST,HHCKLA Buddhist Po Kwong School,386,167,789,19,36,184,53,488,772,2894,803,,,,,
N0602,NORTH DISTRICT,NEW TERRITORIES EAST,Jockey Club Yung Shing Lutheran Integrated Service Centre,457,233,1030,30,61,257,93,679,1394,4234,809,,,,,
N0701,NORTH DISTRICT,NEW TERRITORIES EAST,SKH Ka Fuk Wing Chun Primary School,649,415,1343,43,60,850,117,942,936,5355,803,,,,,
N0801,NORTH DISTRICT,NEW TERRITORIES EAST,Fanling Government Secondary School,341,236,713,22,41,151,37,425,557,2523,803,,,,,
N0802,NORTH DISTRICT,NEW TERRITORIES EAST,Tin Ka Ping Secondary School,220,166,427,11,24,117,30,286,327,1608,803,,,,,
N0901,NORTH DISTRICT,NEW TERRITORIES EAST,Elegantia College (Sponsored by Education Convergence) ,542,310,929,30,76,440,82,685,1590,4684,809,,,,,
N1001,NORTH DISTRICT,NEW TERRITORIES EAST,Po Wing Road Sports Centre,372,302,862,30,48,651,53,613,931,3862,809,,,,,
N1101,NORTH DISTRICT,NEW TERRITORIES EAST,Kam Tsin Village Ho Tung School,161,158,281,6,17,95,18,190,235,1161,803,,,,,
N1102,NORTH DISTRICT,NEW TERRITORIES EAST,Tsiu Keng Village Office,103,78,169,7,8,71,10,99,392,937,809,,,,,
N1103,NORTH DISTRICT,NEW TERRITORIES EAST,Ku Tung Public Oi Wah School,217,171,406,18,23,143,20,210,351,1559,803,,,,,
N1104,NORTH DISTRICT,NEW TERRITORIES EAST,Hang Tau Village Office,152,109,236,7,23,100,14,137,272,1050,809,,,,,
N1201,NORTH DISTRICT,NEW TERRITORIES EAST,Choi Yuen Estate Hall,773,446,1211,44,84,537,94,838,1471,5498,809,,,,,
N1301,NORTH DISTRICT,NEW TERRITORIES EAST,Lung Sum Avenue Sports Centre,109,58,147,7,5,58,12,101,144,641,803,,,,,
N1302,NORTH DISTRICT,NEW TERRITORIES EAST,SKH Chan Young Secondary School,459,258,787,10,32,222,40,457,584,2849,803,,,,,
N1303,NORTH DISTRICT,NEW TERRITORIES EAST,HHCKLA Buddhist Chan Shi Wan Primary School,243,107,400,7,21,140,17,237,247,1419,803,,,,,
N1401,NORTH DISTRICT,NEW TERRITORIES EAST,Shek Wu Hui Public School,721,338,1404,27,91,860,92,741,765,5039,803,,,,,
N1501,NORTH DISTRICT,NEW TERRITORIES EAST,Fung Kai Liu Man Shek Tong Secondary School,546,311,993,33,66,378,70,712,1053,4162,809,,,,,
N1601,NORTH DISTRICT,NEW TERRITORIES EAST,Ta Ku Ling Ling Ying Public School,73,35,100,3,9,59,5,73,117,474,809,,,,,
N1602,NORTH DISTRICT,NEW TERRITORIES EAST,International College Hong Kong,90,51,110,9,13,51,12,93,281,710,809,,,,,
N1604,NORTH DISTRICT,NEW TERRITORIES EAST,Sha Tau Kok Central Primary School,109,90,199,16,31,154,21,124,1071,1815,809,,,,,
N1606,NORTH DISTRICT,NEW TERRITORIES EAST,Ta Kwu Ling Community Hall,74,61,160,11,17,51,8,123,153,658,803,,,,,
N1701,NORTH DISTRICT,NEW TERRITORIES EAST,Tin Ping Sports Centre,465,235,914,26,41,381,49,548,564,3223,803,,,,,
N1702,NORTH DISTRICT,NEW TERRITORIES EAST,Luen Wo Hui Community Hall,620,396,988,25,69,322,72,533,958,3983,803,,,,,
N1801,NORTH DISTRICT,NEW TERRITORIES EAST,Tsung Him School,64,86,129,2,11,49,7,102,140,590,809,,,,,
N1802,NORTH DISTRICT,NEW TERRITORIES EAST,Lung Shan School,92,71,164,8,10,50,14,99,213,721,809,,,,,
N1803,NORTH DISTRICT,NEW TERRITORIES EAST,"Kwan Ti Vegetable Marketing Co-operative Society, Limited",113,80,177,8,13,83,14,111,167,766,803,,,,,
N1804,NORTH DISTRICT,NEW TERRITORIES EAST,Mission To New Arrivals Ltd. Life Building Centre,109,120,247,1,18,88,10,174,301,1068,809,,,,,
N1805,NORTH DISTRICT,NEW TERRITORIES EAST,Wo Hop Shek Village Office,21,26,82,2,4,24,3,35,84,281,809,,,,,
P0101,TAI PO DISTRICT,NEW TERRITORIES EAST,Tai Po Community Centre (Exhibition Hall),408,258,817,21,44,264,91,450,878,3231,809,,,,,
P0201,TAI PO DISTRICT,NEW TERRITORIES EAST,Tai Po Government Secondary School,741,352,1350,27,61,303,132,717,950,4633,803,,,,,
P0301,TAI PO DISTRICT,NEW TERRITORIES EAST,NTW&JWAL Leung Sing Tak Primary School,302,165,539,14,38,125,58,364,391,1996,803,,,,,
P0302,TAI PO DISTRICT,NEW TERRITORIES EAST,HKRSS Tai Po Secondary School,342,230,705,27,55,251,113,511,572,2806,803,,,,,
P0401,TAI PO DISTRICT,NEW TERRITORIES EAST,Tai Yuen Community Hall,617,343,910,34,77,413,129,699,889,4111,803,,,,,
P0501,TAI PO DISTRICT,NEW TERRITORIES EAST,Fu Heng Neighbourhood Community Centre,832,420,1477,49,113,505,212,1016,1025,5649,803,,,,,
P0601,TAI PO DISTRICT,NEW TERRITORIES EAST,Fu Shin Community Hall,679,375,1526,30,49,480,951,818,1177,6085,803,,,,,
P0701,TAI PO DISTRICT,NEW TERRITORIES EAST,HKTA The Yuen Yuen Institute No. 2 Secondary School,521,341,1202,29,48,466,901,721,792,5021,803,,,,,
P0801,TAI PO DISTRICT,NEW TERRITORIES EAST,Kwong Fuk Community Hall,492,251,806,28,61,424,92,558,1150,3862,809,,,,,
P0802,TAI PO DISTRICT,NEW TERRITORIES EAST,Sung Tak Wong Kin Sheung Memorial School,118,63,199,5,10,58,14,128,159,754,803,,,,,
P0901,TAI PO DISTRICT,NEW TERRITORIES EAST,Tai Po Baptist Public School,663,361,1089,28,61,440,92,639,1116,4489,809,,,,,
P1001,TAI PO DISTRICT,NEW TERRITORIES EAST,Hong Kong Teachers' Association Lee Heng Kwei Secondary School,723,466,1512,26,101,413,105,881,1359,5586,803,,,,,
P1002,TAI PO DISTRICT,NEW TERRITORIES EAST,PLK Tin Ka Ping Millennium Primary School,196,191,381,10,28,76,11,197,453,1543,809,,,,,
P1101,TAI PO DISTRICT,NEW TERRITORIES EAST,Wan Tau Tong Neighbourhood Community Centre,604,357,1173,43,89,399,95,818,876,4454,803,,,,,
P1201,TAI PO DISTRICT,NEW TERRITORIES EAST,YCH Choi Hin To Primary School,499,340,864,25,47,296,54,551,615,3291,803,,,,,
P1202,TAI PO DISTRICT,NEW TERRITORIES EAST,Norwegian International School,152,84,271,11,21,103,21,175,196,1034,803,,,,,
P1301,TAI PO DISTRICT,NEW TERRITORIES EAST,Nam Wah Po Village Tsung Tsin Church,46,19,81,1,4,19,2,48,136,356,809,,,,,
P1302,TAI PO DISTRICT,NEW TERRITORIES EAST,Lions Club Lam Tsuen Youth Centre,322,146,548,16,48,144,59,401,737,2421,809,,,,,
P1303,TAI PO DISTRICT,NEW TERRITORIES EAST,Wai Tau Village Office,75,64,139,8,6,52,26,95,184,649,809,,,,,
P1304,TAI PO DISTRICT,NEW TERRITORIES EAST,Tai Hang Public School,111,87,188,6,16,62,11,116,239,836,809,,,,,
P1401,TAI PO DISTRICT,NEW TERRITORIES EAST,Assembly of God Hebron Secondary School,663,410,1405,54,77,443,291,884,1180,5407,803,,,,,
P1501,TAI PO DISTRICT,NEW TERRITORIES EAST,Lam Tsuen Public Wong Fook Luen Memorial School,730,422,1212,50,85,536,130,859,1048,5072,803,,,,,
P1601,TAI PO DISTRICT,NEW TERRITORIES EAST,Tai Wo Neighbourhood Community Centre,716,384,1298,33,71,254,115,724,755,4350,803,,,,,
P1701,TAI PO DISTRICT,NEW TERRITORIES EAST,Tai Po Sam Yuk Secondary School,355,205,760,13,62,170,58,450,567,2640,803,,,,,
P1702,TAI PO DISTRICT,NEW TERRITORIES EAST,Kau Lung Hang Public Yuk Yin School,106,63,215,6,14,53,14,131,359,961,809,,,,,
P1703,TAI PO DISTRICT,NEW TERRITORIES EAST,Conference Room of Hong Lok Yuen Management Services Office,113,112,238,6,20,70,11,110,304,984,809,,,,,
P1704,TAI PO DISTRICT,NEW TERRITORIES EAST,Confucian Tai Shing Ho Kwok Pui Chun College,148,95,347,5,22,58,32,168,275,1150,803,,,,,
P1801,TAI PO DISTRICT,NEW TERRITORIES EAST,Tai Mei Tuk Village Office,183,131,347,9,25,89,16,209,472,1481,809,,,,,
P1802,TAI PO DISTRICT,NEW TERRITORIES EAST,Shuen Wan Chim Uk Village Office,266,156,431,16,21,112,37,300,628,1967,809,,,,,
P1803,TAI PO DISTRICT,NEW TERRITORIES EAST,The Hong Kong Institute of Education Jockey Club Primary School,80,83,199,11,19,33,9,99,177,710,803,,,,,
P1901,TAI PO DISTRICT,NEW TERRITORIES EAST,Hong Kong Baptist Theological Seminary,414,366,770,17,51,174,30,467,571,2860,803,,,,,
Q0101,SAI KUNG DISTRICT,NEW TERRITORIES EAST,The Sai Kung Jockey Club Town Hall,528,466,1025,28,98,226,61,592,1129,4153,809,,,,,
Q0102,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Man Yee Fishermen Village Community Hall,94,62,193,15,14,44,13,109,297,841,809,,,,,
Q0201,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Ex-Sai Kung Central Primary School,403,403,792,23,66,196,49,463,852,3247,809,,,,,
Q0401,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Hong Kong and Macau Lutheran Church Primary School,283,249,520,13,56,135,29,289,562,2136,809,,,,,
Q0501,SAI KUNG DISTRICT,NEW TERRITORIES EAST,"Cheng Chek Chee Secondary School of Sai Kung & Hang Hau District, N.T.",276,271,574,16,44,128,27,333,624,2293,809,,,,,
Q0601,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Evangel College,730,574,1139,32,93,691,64,735,761,4819,803,,,,,
Q0701,SAI KUNG DISTRICT,NEW TERRITORIES EAST,HKYWCA Tseung Kwan O Integrated Social Service Centre,734,489,1192,23,54,241,37,630,620,4020,803,,,,,
Q0801,SAI KUNG DISTRICT,NEW TERRITORIES EAST,G.T. (Ellen Yeung) College,463,458,825,18,47,271,49,443,569,3143,803,,,,,
Q0901,SAI KUNG DISTRICT,NEW TERRITORIES EAST,HHCKLA Buddhist Ching Kok Secondary School,502,536,896,33,78,449,284,581,774,4133,803,,,,,
Q1001,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Po Kok Secondary School,723,592,1258,65,100,639,116,931,1017,5441,803,,,,,
Q1101,SAI KUNG DISTRICT,NEW TERRITORIES EAST,POH 80th Anniversary Tang Ying Hei College,815,548,1318,30,75,473,210,795,837,5101,803,,,,,
Q1201,SAI KUNG DISTRICT,NEW TERRITORIES EAST,YCH Wong Wha San Secondary School,862,661,1317,46,80,491,78,854,948,5337,803,,,,,
Q1301,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Tseung Kwan O Sports Ground,589,436,1008,18,49,252,67,628,536,3583,803,,,,,
Q1401,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Tseung Kwan O Government Primary School,879,572,1498,29,89,541,90,954,977,5629,803,,,,,
Q1501,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Tsui Lam Sports Centre,182,129,295,12,13,113,25,201,150,1120,803,,,,,
Q1502,SAI KUNG DISTRICT,NEW TERRITORIES EAST,King Ling College,357,244,682,19,37,221,34,378,496,2468,803,,,,,
Q1601,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Tsui Lam Community Hall,806,616,1372,42,81,594,119,884,769,5283,803,,,,,
Q1701,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Carmel Divine Grace Foundation Secondary School,878,703,1565,50,103,652,147,939,926,5963,803,,,,,
Q1801,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Po Lam Multipurpose Hall,981,744,1631,29,76,545,213,988,938,6145,803,,,,,
Q1901,SAI KUNG DISTRICT,NEW TERRITORIES EAST,STFA Leung Kit Wah Primary School,1234,815,1883,51,88,550,208,1059,1048,6936,803,,,,,
Q1902,SAI KUNG DISTRICT,NEW TERRITORIES EAST,STFA Cheng Yu Tung Secondary School,430,328,793,15,38,210,78,418,422,2732,803,,,,,
Q2001,SAI KUNG DISTRICT,NEW TERRITORIES EAST,King Lam Neighbourhood Community Centre,813,593,1483,65,87,709,140,976,1307,6173,803,,,,,
Q2101,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Catholic Ming Yuen Secondary School,877,658,1554,48,96,639,106,1004,1275,6257,803,,,,,
Q2201,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Hong Kong and Macau Lutheran Church Queen Maud Secondary School,835,583,1366,35,99,416,86,832,1217,5469,803,,,,,
Q2301,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Hang Hau Community Hall,1052,670,1663,46,112,610,91,1075,1305,6624,803,,,,,
Q2401,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Sheung Tak Community Hall,617,396,1465,66,106,1190,173,979,767,5759,803,,,,,
Q2501,SAI KUNG DISTRICT,NEW TERRITORIES EAST,HKTA The Yuen Yuen Institute No.3 Secondary School,880,554,1445,61,98,595,84,827,1590,6134,809,,,,,
Q2601,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Creative Secondary School,285,204,469,13,34,123,16,282,212,1638,803,,,,,
Q2602,SAI KUNG DISTRICT,NEW TERRITORIES EAST,Lohas Park Community Hall,1061,906,1704,58,105,455,71,929,1037,6326,803,,,,,
R0101,SHA TIN DISTRICT,NEW TERRITORIES EAST,Sha Tin Town Hall,736,480,1301,27,77,240,42,659,649,4211,803,,,,,
R0102,SHA TIN DISTRICT,NEW TERRITORIES EAST,Sha Tin Government Secondary School,145,79,286,9,15,49,3,151,166,903,803,,,,,
R0201,SHA TIN DISTRICT,NEW TERRITORIES EAST,Lek Yuen Community Hall,557,482,862,33,91,415,68,665,658,3831,803,,,,,
R0301,SHA TIN DISTRICT,NEW TERRITORIES EAST,Wo Che Community Hall,717,516,1228,66,88,594,75,925,1093,5302,803,,,,,
R0401,SHA TIN DISTRICT,NEW TERRITORIES EAST,Baptist Lui Ming Choi Primary School,958,534,1644,30,99,318,47,980,757,5367,803,,,,,
R0501,SHA TIN DISTRICT,NEW TERRITORIES EAST,Pentecostal Lam Hon Kwong School,826,478,1462,29,72,323,60,834,814,4898,803,,,,,
R0601,SHA TIN DISTRICT,NEW TERRITORIES EAST,Chi Hong Primary School,419,267,771,20,32,169,48,456,380,2562,803,,,,,
R0602,SHA TIN DISTRICT,NEW TERRITORIES EAST,Belair Gardens Shopping Arcade 1/F Footbridge,344,291,582,9,40,132,27,346,353,2124,803,,,,,
R0701,SHA TIN DISTRICT,NEW TERRITORIES EAST,Buddhist Kok Kwong Secondary School,752,516,1144,29,65,601,152,774,1019,5052,803,,,,,
R0801,SHA TIN DISTRICT,NEW TERRITORIES EAST,Pok Hong Community Hall,887,566,1435,41,73,626,196,892,961,5677,803,,,,,
R0901,SHA TIN DISTRICT,NEW TERRITORIES EAST,Sha Tin Wai Dr. Catherine F. Woo Memorial School,827,624,1373,31,69,596,220,851,922,5513,803,,,,,
R1001,SHA TIN DISTRICT,NEW TERRITORIES EAST,Chun Shek Community Hall,807,547,1530,37,64,502,65,781,841,5174,803,,,,,
R1101,SHA TIN DISTRICT,NEW TERRITORIES EAST,Sun Tin Wai Community Hall,483,325,690,27,40,561,49,454,333,2962,803,,,,,
R1201,SHA TIN DISTRICT,NEW TERRITORIES EAST,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,879,578,1749,34,83,541,327,994,1054,6239,803,,,,,
R1301,SHA TIN DISTRICT,NEW TERRITORIES EAST,CUHK FAA Thomas Cheung School,271,183,573,9,40,143,31,333,226,1809,803,,,,,
R1302,SHA TIN DISTRICT,NEW TERRITORIES EAST,Hin Keng Sports Centre,581,534,1175,41,68,461,67,745,577,4249,803,,,,,
R1401,SHA TIN DISTRICT,NEW TERRITORIES EAST,Mei Tin Community Hall,543,438,942,34,84,525,63,671,802,4102,803,,,,,
R1501,SHA TIN DISTRICT,NEW TERRITORIES EAST,GCCITKD Lau Pak Lok Secondary School,434,365,877,14,47,186,32,479,546,2980,803,,,,,
R1601,SHA TIN DISTRICT,NEW TERRITORIES EAST,Hin Keng Neighbourhood Community Centre,1017,623,1522,41,92,614,88,980,998,5975,803,,,,,
R1602,SHA TIN DISTRICT,NEW TERRITORIES EAST,Choi Jun School,136,169,292,5,13,61,5,125,217,1023,803,,,,,
R1701,SHA TIN DISTRICT,NEW TERRITORIES EAST,Lung Hang Estate Community Centre,640,436,1024,38,55,480,84,764,757,4278,803,,,,,
R1801,SHA TIN DISTRICT,NEW TERRITORIES EAST,GCCITKD Cheong Wong Wai Primary School,718,481,1189,27,80,502,274,794,900,4965,803,,,,,
R1901,SHA TIN DISTRICT,NEW TERRITORIES EAST,Buddhist Wong Wan Tin College,740,359,1341,39,72,485,85,795,1836,5752,809,,,,,
R1902,SHA TIN DISTRICT,NEW TERRITORIES EAST,Tai Wai Village Office,138,90,292,7,16,82,13,141,187,966,803,,,,,
R2001,SHA TIN DISTRICT,NEW TERRITORIES EAST,Lock Tao Secondary School,513,373,1075,28,60,280,55,667,796,3847,803,,,,,
R2002,SHA TIN DISTRICT,NEW TERRITORIES EAST,ELCHK Shatin Lutheran Kindergarten,60,74,123,2,9,25,9,74,111,487,803,,,,,
R2101,SHA TIN DISTRICT,NEW TERRITORIES EAST,PLK Siu Hon Sum Primary School,675,472,1308,31,95,237,52,753,936,4559,803,,,,,
R2201,SHA TIN DISTRICT,NEW TERRITORIES EAST,Jockey Club Ti-I College,600,479,1152,21,66,257,40,648,888,4151,803,,,,,
R2301,SHA TIN DISTRICT,NEW TERRITORIES EAST,"John Fulton Centre, The Chinese University of Hong Kong",99,103,195,1,11,52,10,116,159,746,803,,,,,
R2302,SHA TIN DISTRICT,NEW TERRITORIES EAST,Yan Oi Tong H.K. Toi Shan Association Elderly Centre,370,333,664,9,42,129,19,321,444,2331,803,,,,,
R2401,SHA TIN DISTRICT,NEW TERRITORIES EAST,Christian Alliance Toi Shan H. C. Chan Primary School,815,503,1653,46,90,368,80,1005,1642,6202,803,,,,,
R2501,SHA TIN DISTRICT,NEW TERRITORIES EAST,CUHKFAA Chan Chun Ha Secondary School,1007,590,1744,41,121,457,84,1127,1614,6785,803,,,,,
R2601,SHA TIN DISTRICT,NEW TERRITORIES EAST,Hong Kong Taoist Association Shun Yeung Primary School ,767,610,1518,49,65,397,44,901,833,5184,803,,,,,
R2801,SHA TIN DISTRICT,NEW TERRITORIES EAST,Caritas Ma On Shan Secondary School,1249,716,2073,57,110,617,101,1251,1361,7535,803,,,,,
R2901,SHA TIN DISTRICT,NEW TERRITORIES EAST,Lee On Community Hall,1236,779,2306,46,114,633,101,1327,1505,8047,803,,,,,
R3001,SHA TIN DISTRICT,NEW TERRITORIES EAST,Ng Clan's Association Tai Pak Memorial School,611,368,1085,20,61,373,36,635,782,3971,803,,,,,
R3002,SHA TIN DISTRICT,NEW TERRITORIES EAST,TWGHs Wong Fung Ling College,341,239,681,16,26,121,21,381,380,2206,803,,,,,
R3101,SHA TIN DISTRICT,NEW TERRITORIES EAST,PLK Chong Kee Ting Primary School,883,523,1938,48,115,502,97,1201,1712,7019,803,,,,,
R3201,SHA TIN DISTRICT,NEW TERRITORIES EAST,Ma On Shan St. Joseph's Primary School,607,401,1294,33,66,698,61,722,627,4509,803,,,,,
R3202,SHA TIN DISTRICT,NEW TERRITORIES EAST,Heng On Estate Community Centre,436,272,887,16,46,411,49,510,481,3108,803,,,,,
R3301,SHA TIN DISTRICT,NEW TERRITORIES EAST,Tak Sun Secondary School,924,554,1573,27,84,271,87,938,1242,5700,803,,,,,
R3401,SHA TIN DISTRICT,NEW TERRITORIES EAST,SKH Ma On Shan Holy Spirit Primary School,807,567,1533,31,93,368,78,985,1182,5644,803,,,,,
R3402,SHA TIN DISTRICT,NEW TERRITORIES EAST,The ELCHK Ma On Shan Lutheran Primary School,147,121,289,13,21,167,22,166,354,1300,809,,,,,
R3501,SHA TIN DISTRICT,NEW TERRITORIES EAST,Lam Tai Fai College,824,582,1532,38,104,357,74,952,921,5384,803,,,,,
R3601,SHA TIN DISTRICT,NEW TERRITORIES EAST,Leung Kui Kau Lutheran Primary School,649,415,1077,27,61,194,36,605,736,3800,803,,,,,
R3602,SHA TIN DISTRICT,NEW TERRITORIES EAST,Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School,124,111,187,12,19,99,9,165,433,1159,809,,,,,
R3701,SHA TIN DISTRICT,NEW TERRITORIES EAST,LKWFSL Wong Yiu Nam Primary School,789,534,1583,31,94,365,71,951,1252,5670,803,,,,,
R3801,SHA TIN DISTRICT,NEW TERRITORIES EAST,Kwong Yuen Community Hall,603,436,1211,53,91,440,81,896,832,4643,803,,,,,
