"選 區
LC","地 方 選 區(中文)
Geographical Constituency (Chinese)","地 方 選 區(英文)
Geographical Constituency (English)","名單編號
List No.","名單排列次序
List Order","候選人英文姓名
English Name of Candidates","候選人英文別名
English Alias of Candidates","候選人中文姓名
Chinese Name of Candidates","候選人中文別名
Chinese Alias of Candidates","所得票數
Votes Obtained","當選
Elected"
LC5,新界東,NEW TERRITORIES EAST,1,a,FONG KWOK SHAN CHRISTINE,,方國珊,哪吒,34544,
LC5,新界東,NEW TERRITORIES EAST,2,a,LAM CHEUK TING,,林卓廷,,39327,Yes
LC5,新界東,NEW TERRITORIES EAST,2,b,LAU WAI HING EMILY,,劉慧卿,,39327,
LC5,新界東,NEW TERRITORIES EAST,2,c,TING TSZ YUEN,,丁仕元,,39327,
LC5,新界東,NEW TERRITORIES EAST,2,d,NG KAM HUNG,,吳錦雄,,39327,
LC5,新界東,NEW TERRITORIES EAST,2,e,LO YING CHEUNG,,羅英翔,,39327,
LC5,新界東,NEW TERRITORIES EAST,3,a,LIU TIN SHING,,廖添誠,,850,
LC5,新界東,NEW TERRITORIES EAST,3,b,KUEN PING YIU,,姜炳耀,,850,
LC5,新界東,NEW TERRITORIES EAST,3,c,LI WAI,,李維,,850,
LC5,新界東,NEW TERRITORIES EAST,4,a,CHIN WAN KAN,WAN CHIN,陳云根,陳雲,23635,
LC5,新界東,NEW TERRITORIES EAST,4,b,LEE KWOK HEI MARCO,,李珏熙,,23635,
LC5,新界東,NEW TERRITORIES EAST,5,a,LEUNG KWOK HUNG,LONGHAIR,梁國雄,長毛,35595,Yes
LC5,新界東,NEW TERRITORIES EAST,6,a,CHEUNG CHIU HUNG,,張超雄,,49800,Yes
LC5,新界東,NEW TERRITORIES EAST,6,b,KWOK WING KIN,,郭永健,,49800,
LC5,新界東,NEW TERRITORIES EAST,7,a,YEUNG ALVIN NGOK KIU,,楊岳橋,,52416,Yes
LC5,新界東,NEW TERRITORIES EAST,8,a,MAK KA CHUN RAYMOND,,麥嘉������,,8084,
LC5,新界東,NEW TERRITORIES EAST,9,a,CHENG KAR FOO ANDREW,,鄭家富,,17892,
LC5,新界東,NEW TERRITORIES EAST,10,a,QUAT ELIZABETH,EQ,葛珮帆,,58825,Yes
LC5,新界東,NEW TERRITORIES EAST,10,b,CHONG YUEN TUNG,,莊元苳,,58825,
LC5,新界東,NEW TERRITORIES EAST,10,c,TUNG KIN LEI,,董健莉,,58825,
LC5,新界東,NEW TERRITORIES EAST,10,d,CHAN POK CHI,,陳博智,,58825,
LC5,新界東,NEW TERRITORIES EAST,10,e,CHIU MAN LEONG,ALVIN,招文亮,,58825,
LC5,新界東,NEW TERRITORIES EAST,10,f,LI KA LEUNG PHILIP,,李家良,,58825,
LC5,新界東,NEW TERRITORIES EAST,10,g,WAN KAI MING,,温啟明,,58825,
LC5,新界東,NEW TERRITORIES EAST,10,h,LO TAI SUEN ADA,,羅棣萱,,58825,
LC5,新界東,NEW TERRITORIES EAST,10,i,WONG CHI YUNG,ALF,黃自勇,,58825,
LC5,新界東,NEW TERRITORIES EAST,11,a,HAU CHI KEUNG,,侯志強,,6720,
LC5,新界東,NEW TERRITORIES EAST,11,b,WONG SHUI SANG,,王水生,,6720,
LC5,新界東,NEW TERRITORIES EAST,11,c,PANG WANG KIN,,彭宏健,,6720,
LC5,新界東,NEW TERRITORIES EAST,11,d,YIP WAH CHING,,葉華清,,6720,
LC5,新界東,NEW TERRITORIES EAST,12,a,LEE TSZ KING DOMINIC,,李梓敬,,20031,
LC5,新界東,NEW TERRITORIES EAST,12,b,TIEN PEI CHUN JAMES,,田北俊,,20031,
LC5,新界東,NEW TERRITORIES EAST,13,a,TANG KA PIU,,鄧家彪,,26931,
LC5,新界東,NEW TERRITORIES EAST,13,b,TAM KAM LIN,,譚金蓮,,26931,
LC5,新界東,NEW TERRITORIES EAST,13,c,TSANG KING CHUNG KENT,,曾勁聰,,26931,
LC5,新界東,NEW TERRITORIES EAST,14,a,FAN GARY KWOK WAI,,范國威,,31595,
LC5,新界東,NEW TERRITORIES EAST,14,b,YAM KAI BONG,,任啟邦,,31595,
LC5,新界東,NEW TERRITORIES EAST,14,c,LEUNG LI,,梁里,,31595,
LC5,新界東,NEW TERRITORIES EAST,14,d,CHUNG KAM LUN,,鍾錦麟,,31595,
LC5,新界東,NEW TERRITORIES EAST,14,e,CHAN WAI TAT,,陳惠達,,31595,
LC5,新界東,NEW TERRITORIES EAST,14,f,LI SAI HUNG,,李世鴻,,31595,
LC5,新界東,NEW TERRITORIES EAST,14,g,CHOW YUEN WAI,,周炫瑋,,31595,
LC5,新界東,NEW TERRITORIES EAST,14,h,LUI MAN KWONG,,呂文光,,31595,
LC5,新界東,NEW TERRITORIES EAST,15,a,CHAN YUK NGOR ESTELLA,,陳玉娥,,486,
LC5,新界東,NEW TERRITORIES EAST,16,a,WONG SUM YU,,黃琛喻,,1657,
LC5,新界東,NEW TERRITORIES EAST,17,a,LEE SEE YIN LETICIA,,李偲嫣,,2938,
LC5,新界東,NEW TERRITORIES EAST,18,a,CHAN CHI CHUEN RAYMOND,SLOWBEAT,陳志全,慢必,45993,Yes
LC5,新界東,NEW TERRITORIES EAST,19,a,LEUNG CHUNG HANG SIXTUS,,梁頌恆,,37997,Yes
LC5,新界東,NEW TERRITORIES EAST,19,b,LI TUNG SING,,李東昇,,37997,
LC5,新界東,NEW TERRITORIES EAST,20,a,LEUNG KAM SHING CLARENCE RONALD,,梁金成,,305,
LC5,新界東,NEW TERRITORIES EAST,20,b,YAU MAN KING,,邱文勁,,305,
LC5,新界東,NEW TERRITORIES EAST,21,a,YUNG HOI YAN,,容海恩,,36183,Yes
LC5,新界東,NEW TERRITORIES EAST,21,b,TAM LANNY,STANLEY,譚領律,,36183,
LC5,新界東,NEW TERRITORIES EAST,21,c,LEUNG KA FAI,,梁家輝,,36183,
LC5,新界東,NEW TERRITORIES EAST,21,d,CHAN MAN KUEN,,陳敏娟,,36183,
LC5,新界東,NEW TERRITORIES EAST,21,e,TONG HOK LEUNG,,唐學良,,36183,
LC5,新界東,NEW TERRITORIES EAST,21,f,YIP CHI HO,JAMES,葉志豪,,36183,
LC5,新界東,NEW TERRITORIES EAST,21,g,LIU TSZ CHUNG MICHAEL,,廖子聰,,36183,
LC5,新界東,NEW TERRITORIES EAST,22,a,CHAN HAK KAN,,陳克勤,,48720,Yes
LC5,新界東,NEW TERRITORIES EAST,22,b,WOO KIN MAN CLEMENT,,胡健民,,48720,
LC5,新界東,NEW TERRITORIES EAST,22,c,YIU MING,,姚銘,,48720,
LC5,新界東,NEW TERRITORIES EAST,22,d,WONG PIK KIU,,黃碧嬌,,48720,
LC5,新界東,NEW TERRITORIES EAST,22,e,LARM WAI LEUNG,,藍偉良,,48720,
LC5,新界東,NEW TERRITORIES EAST,22,f,TSANG HING LUNG,,曾興隆,,48720,
LC5,新界東,NEW TERRITORIES EAST,22,g,MUI SIU FUNG,,梅少峰,,48720,
LC5,新界東,NEW TERRITORIES EAST,22,h,HAU HON SHEK,,侯漢碩,,48720,
